year,csi300_eps,csi500_eps,csi300_eps_growth,csi500_eps_growth,csi300_eps_index,csi500_eps_index
2005,0.34,0.24,,,100.0,100.0
2006,0.28,0.24,-0.17647058823529405,0.0,82.3529411764706,100.0
2007,0.48,0.24,0.714285714285714,0.0,141.17647058823528,100.0
2008,0.39,0.16,-0.1874999999999999,-0.33333333333333326,114.70588235294117,66.66666666666667
2009,0.47,0.21,0.20512820512820507,0.3125,138.23529411764704,87.5
2010,0.54,0.31,0.14893617021276606,0.4761904761904763,158.8235294117647,129.16666666666669
2011,0.61,0.29,0.12962962962962954,-0.06451612903225812,179.41176470588235,120.83333333333333
2012,0.61,0.23,0.0,-0.2068965517241378,179.41176470588235,95.83333333333334
2013,0.69,0.31,0.13114754098360648,0.34782608695652173,202.94117647058823,129.16666666666669
2014,0.71,0.31,0.02898550724637694,0.0,208.82352941176467,129.16666666666669
2015,0.66,0.24,-0.07042253521126751,-0.22580645161290325,194.11764705882354,100.0
2016,0.65,0.28,-0.015151515151515138,0.16666666666666674,191.17647058823528,116.66666666666667
2017,0.72,0.37,0.10769230769230753,0.3214285714285714,211.7647058823529,154.16666666666669
2018,0.77,0.3,0.06944444444444442,-0.18918918918918926,226.47058823529412,125.0
2019,0.84,0.3,0.09090909090909083,0.0,247.05882352941174,125.0
2020,0.84,0.34,0.0,0.13333333333333353,247.05882352941174,141.66666666666669
2021,0.95,0.44,0.13095238095238093,0.2941176470588234,279.4117647058823,183.33333333333334
2022,1.04,0.38,0.09473684210526323,-0.13636363636363635,305.88235294117646,158.33333333333334
2023,1.03,0.41,-0.009615384615384581,0.07894736842105265,302.94117647058823,170.83333333333331
